version	table	code	scale	reference	width	unit	name	members
13	B	002098	0	0	4	Code table	Type of wave sensor	
13	B	012073	2	0	16	K	Temperature	
13	B	014001	-3	-2048	12	J m-2		
13	B	014002	-3	-2048	12	J m-2		
13	B	014003	-3	-2048	12	J m-2		
13	B	014004	-3	-2048	12	J m-2		
13	B	014011	-3	-2048	12	J m-2		
13	B	014012	-3	-2048	12	J m-2		
13	B	014013	-3	-2048	12	J m-2		
13	B	014014	-3	-2048	12	J m-2		
13	B	014017	-3	-2048	12	W m-2		
13	B	014018	-3	-2048	12	W m-2		
13	B	014028	-2	0	16	J m-2		
13	B	014029	-2	0	16	J m-2		
13	B	014030	-2	0	16	J m-2		
13	B	014061	0	-512	10	W m-2	(val) instantaneous long-wave radiation	
13	B	014062	0	-2048	12	W m-2	(val) instantaneous short-wave radiation	
13	B	022039	3	-5000	12	m		
13	B	022191	2	0	20	m		
13	B	033009	6	0	20	%	Relative error	
13	B	033066	0	0	4	Code table		
13	B	033067	0	0	4	Code table	Sbuv profile ozone quality	
13	D	302062						302001 302052 302053 007033 101000 031000 302034 007032 101000 031001 302005 008002 101000 031000 302055 101000 031000 302056 101000 031000 302021 101000 031000 302024
13	D	302063						302038 101000 031000 302040 101000 031000 302058 302059
13	D	304037						002153 002154 012063 008011 012063 008011 012063 008011 008003 012063 008003 012063 008003 012063 008003
13	D	306020						306024 102006 022038 022039
13	D	306024						001075 301011 301012 022042 022120 022121 004025 004015
13	D	307041						301001 001015 301022 301011 301012 301070 307030
13	D	307042						301001 001015 301022 301011 301012 008021 004025 301070 307031
13	D	307045						001063 008079 002001 301011 301012 301024 007032 011001 011016 011017 008054 011083 011084 011002 008054 011085 011086 011041 008054 007032 012023 012024 007032 010052 020009
13	D	307052						001063 008039 301011 301012 008079 008039 301011 301012 008039 301011 301012 301024
13	D	307059						307045 307046 307013 307014 307047 307016 307017 307049 307050 101000 031001 307048
13	D	307091						301089 301090 008010 301091 302001 007004 010009 302072 103000 031000 101005 307063 007061 101000 031000 302069 007032 007033 105000 031000 020031 020032 002038 022043 302021 101000 031000 302078 101000 031000 302073 101000 031000 302074 101000 031000 302075 102000 031000 004025 302076 302071 302077 007033 101000 031000 302079 007032 101000 031000 302080 101000 031000 302081 101000 031000 302082 102000 031000 004025 013059 101000 031000 302083 033005 033006
13	D	308008						001003 001020 001005 002001 002036 002149 301011 301012 008021 301011 301012 008021 301021 027004 028004 007030 001051 002148 001012 001014 002040 033022 033023 033027 022063 302021 302022 302023 008081 025026 008081 025026 008081 025026 008081 002034 022060 007070 002190 025086 002035 002168 020031 002038 306004 002030 306005 007031 008081 012064 302001 008081 007032 007033 012101 012103 013003 007032 007033 008082 007033 002169 002002 008021 004025 011001 011002 008021 004025 011043 011041 008082 007033 007032 004024 013011 007032 008021 004024 014021 008021 025028 025028 025028
13	D	308012						004001 004001 004002 004003 004004 004074 004022 008023 010051 007032 007033 012101 013002 007032 007033 302056 008023 004001 004001 004002 004003 004004 004022 007032 008023 013060 004053 008023
13	D	308015						001003 001020 001005 001011 001205 001001 001002 002044 002045 301011 301012 301021 022063 105002 002098 022070 022071 022073 022074 002098 022076 022077 022094 025043 022078 121000 031001 002098 022082 022084 116000 031001 022080 022085 022086 022087 022088 022089 103000 031001 022090 022186 022187 103000 031001 022092 022186 022187 002098
13	D	308016						001003 001020 001005 001011 001205 001001 001002 002044 002045 301011 301012 301021 022063 105002 002098 022070 022072 022073 022075 002098 022076 022077 022094 025044 022079 121000 031001 002098 022083 022084 116000 031001 022081 022085 022086 022087 022088 022089 103000 031001 022091 022186 022187 103000 031001 022093 022186 022187 002098
13	D	312060						025060 025062 040001 040002 021062 021151 021152 021153 021154 021062 021062 040003 040004 040005 040006 040007 020065 040008 040009 040010
13	D	316020						001023 001025 001027 301011 301012
13	D	340005						001007 002019 001096 025061 005044 005040 001030 301011 301012 004007 005001 006001 008029 008074 008077 040011 025097 025095 025098 025099 021144 025096 040012 040013 021169 022151 022162 022163 025160 025133 022156 022164 022165 022166 021137 021138 022167 021139 021118 021145 021146 021147 022168 022169 022170 025161 025162 022171 022172 022173 022174 021170 021171 022175 021172 021118 021173 021174 021175 102003 002153 012063 013090 013091 007002 011097 011098 007002 011095 011096 010096 010081 010082 010083 010101 025132 025163 025126 025128 025164 010085 010097 010086 010087 010092 010088 010089 010098 010099 010090 010100 010093 025127 040014
13	D	340008						001007 001031 002019 002020 004001 004002 004003 004004 004005 202131 201138 004006 201000 202000 005001 006001 007024 005021 007025 005022 005043 005040 201133 005041 201000 201132 025070 201000 202126 007001 202000 103003 025140 025141 033060 033061 033062 033063 033064 033065 040020 101010 340002 104000 031002 201136 005042 201000 014046 002019 025051 101007 340004 020081 008029 020083 008029 040018 040019 040021 040022
15	B	000026	0	0	16	CCITT IA5		
15	B	001097	0	0	13	Numeric	Star catalogue number	
15	B	001098	0	0	12	Code table	Type of product	
15	B	001099	0	0	2048	CCITT IA5		
15	B	001103	0	0	14	Numeric		
15	B	002007	0	0	4	Code table		
15	B	002098	0	0	4	Code table	Type of wave sensor	
15	B	002147	0	0	7	Code table		
15	B	004008	7	0	30	s	Seconds within a minute (high accuracy)	
15	B	007011	0	0	30	Pa	Pressure (high precision)	
15	B	008027	0	0	6	Code table		
15	B	010012	0	-1525	13	m	Density altitude	
15	B	012073	2	0	16	K	Temperature	
15	B	013118	3	0	14	m		
15	B	014052	-2	0	20	J m-2		
15	B	014053	-2	0	21	J m-2		
15	B	014057	-1	-1000	11	J m-2		
15	B	014061	0	-512	10	W m-2	(val) instantaneous long-wave radiation	
15	B	014062	0	-2048	12	W m-2	(val) instantaneous short-wave radiation	
15	B	014071	6	-1048576	21	W m-2 nm-1	Global uv spectral irradiance	
15	B	014073	-3	-32	6	J m-2	Global erythemal irradiation	
15	B	015007	2	0	15	DU		
15	B	015009	0	0	10	log(m-3)		
15	B	015010	0	0	10	Pa	Partial pressure	
15	B	015022	0	0	10	kg m-2		
15	B	015023	0	0	10	kg m-3	Mass density	
15	B	015028	0	0	10	0/00		
15	B	015040	8	0	9	m	Particulate matter diameter	
15	B	015044	6	-5000000	24	Numeric		
15	B	020079	0	0	2	Flag table		
15	B	020080	0	0	3	Code table	Cloud amount percentage interval	
15	B	022039	3	-5000	12	m		
15	B	022176	0	0	72	CCITT IA5	Unique identifier for the profile	
15	B	022177	1	0	9	m		
15	B	022179	0	0	256	CCITT IA5		
15	B	022180	0	0	256	CCITT IA5	Auto launcher software version number	
15	B	022181	0	0	32	CCITT IA5	Instrument manufacturer's serial number	
15	B	022191	2	0	20	m		
15	B	025144	0	0	9	Numeric		
15	B	025145	0	0	9	Numeric		
15	B	025151	3	-20000	14	Numeric	Star relative magnitude	
15	B	025152	0	0	17	K	Star brightness temperature	
15	B	025153	0	0	2	Code table	Limb	
15	B	033009	6	0	20	%	Relative error	
15	B	033066	0	0	4	Code table		
15	B	033067	0	0	4	Code table	Sbuv profile ozone quality	
15	B	033191	0	0	2	Code table	Ecmwf wam qc indicator	
15	B	040015	2	0	16	Numeric		
15	D	301059						101000 031001 301001
15	D	302062						302001 302052 302053 007033 101000 031000 302034 007032 101000 031001 302005 008002 101000 031000 302055 101000 031000 302056 101000 031000 302021 101000 031000 302024
15	D	302063						302038 101000 031000 302040 101000 031000 302058 302059
15	D	302090						002038 007063 022045 007063
15	D	306016						301011 301013 010004 010051 302032
15	D	306020						306024 102006 022038 022039
15	D	306024						001075 301011 301012 022042 022120 022121 004025 004015
15	D	306032						002032 002033 103000 031001 007062 022043 022062 022066
15	D	307041						301001 001015 301022 301011 301012 301070 307030
15	D	307042						301001 001015 301022 301011 301012 008021 004025 301070 307031
15	D	307045						001063 008079 002001 301011 301012 301024 007032 011001 011016 011017 008054 011083 011084 011002 008054 011085 011086 011041 008054 007032 012023 012024 007032 010052 020009
15	D	307052						001063 008039 301011 301012 008079 008039 301011 301012 008039 301011 301012 301024
15	D	307059						307045 307046 307013 307014 307047 307016 307017 307049 307050 101000 031001 307048
15	D	307091						301089 301090 008010 301091 302001 007004 010009 302072 103000 031000 101005 307063 007061 101000 031000 302069 007032 007033 105000 031000 020031 020032 002038 022043 302021 101000 031000 302078 101000 031000 302073 101000 031000 302074 101000 031000 302075 102000 031000 004025 302076 302071 302077 007033 101000 031000 302079 007032 101000 031000 302080 101000 031000 302081 101000 031000 302082 102000 031000 004025 013059 101000 031000 302083 033005 033006
15	D	307092						301089 301090 008010 301091 004015 004065 125000 031001 010004 302070 302072 007032 012101 103000 031000 101005 307063 007061 101000 031000 302069 007032 007033 101000 031000 302073 101000 031000 302076 102000 031000 013055 013058 102000 031000 020031 020032 101000 031000 302078 102000 031000 302079 007032 101000 031000 302080 101000 031000 302081 101000 031000 302083 102000 031000 004025 013059 101000 031000 302083 033005 033006
15	D	307093						223000 236000 101000 031001 031031 001033 001032 008083 101000 031001 223255 108000 031001 223000 237000 001033 001032 008083 101000 031001 223255
15	D	308008						001003 001020 001005 002001 002036 002149 301011 301012 008021 301011 301012 008021 301021 027004 028004 007030 001051 002148 001012 001014 002040 033022 033023 033027 022063 302021 302022 302023 008081 025026 008081 025026 008081 025026 008081 002034 022060 007070 002190 025086 002035 002168 020031 002038 306004 002030 306005 007031 008081 012064 302001 008081 007032 007033 012101 012103 013003 007032 007033 008082 007033 002169 002002 008021 004025 011001 011002 008021 004025 011043 011041 008082 007033 007032 004024 013011 007032 008021 004024 014021 008021 025028 025028 025028
